INFO 2025-06-13 16:26:18,832 tasks Starting product expiration check at 2025-06-13 16:26:18.832167+07:00 WIB
INFO 2025-06-13 16:26:18,843 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:18,881 tasks Found 5 available products to check
INFO 2025-06-13 16:26:19,160 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:19,229 tasks Starting product expiration check at 2025-06-13 16:26:19.229466+07:00 WIB
INFO 2025-06-13 16:26:19,254 tasks Found 5 available products to check
INFO 2025-06-13 16:26:19,534 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:19,563 tasks Starting product expiration check at 2025-06-13 16:26:19.563752+07:00 WIB
INFO 2025-06-13 16:26:19,643 tasks Found 5 available products to check
INFO 2025-06-13 16:26:19,981 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:20,000 tasks Starting product expiration check at 2025-06-13 16:26:20.000174+07:00 WIB
INFO 2025-06-13 16:26:20,013 tasks Found 5 available products to check
INFO 2025-06-13 16:26:20,282 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:20,410 tasks Starting product expiration check at 2025-06-13 16:26:20.409014+07:00 WIB
INFO 2025-06-13 16:26:20,442 tasks Found 5 available products to check
INFO 2025-06-13 16:26:20,767 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:20,768 tasks Starting product expiration check at 2025-06-13 16:26:20.768450+07:00 WIB
INFO 2025-06-13 16:26:20,853 tasks Found 5 available products to check
INFO 2025-06-13 16:26:21,151 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:21,163 tasks Starting product expiration check at 2025-06-13 16:26:21.163972+07:00 WIB
INFO 2025-06-13 16:26:21,211 tasks Found 5 available products to check
INFO 2025-06-13 16:26:21,494 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:21,615 tasks Found 5 available products to check
INFO 2025-06-13 16:26:21,883 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:27,123 tasks Starting product expiration check at 2025-06-13 16:26:27.123959+07:00 WIB
INFO 2025-06-13 16:26:27,592 tasks Found 5 available products to check
INFO 2025-06-13 16:26:27,872 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:33,092 tasks Starting product expiration check at 2025-06-13 16:26:33.091921+07:00 WIB
INFO 2025-06-13 16:26:33,488 tasks Starting product expiration check at 2025-06-13 16:26:33.488649+07:00 WIB
INFO 2025-06-13 16:26:33,531 tasks Found 5 available products to check
INFO 2025-06-13 16:26:33,811 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:33,852 tasks Starting product expiration check at 2025-06-13 16:26:33.852653+07:00 WIB
INFO 2025-06-13 16:26:33,925 tasks Found 5 available products to check
INFO 2025-06-13 16:26:34,188 tasks Starting product expiration check at 2025-06-13 16:26:34.188675+07:00 WIB
INFO 2025-06-13 16:26:34,211 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:34,293 tasks Found 5 available products to check
INFO 2025-06-13 16:26:34,587 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:34,610 tasks Found 5 available products to check
INFO 2025-06-13 16:26:34,878 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:40,112 tasks Starting product expiration check at 2025-06-13 16:26:40.112088+07:00 WIB
INFO 2025-06-13 16:26:40,483 tasks Starting product expiration check at 2025-06-13 16:26:40.483033+07:00 WIB
INFO 2025-06-13 16:26:40,541 tasks Found 5 available products to check
INFO 2025-06-13 16:26:40,820 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:40,936 tasks Found 5 available products to check
INFO 2025-06-13 16:26:40,936 tasks Starting product expiration check at 2025-06-13 16:26:40.936919+07:00 WIB
INFO 2025-06-13 16:26:41,240 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:41,241 tasks Starting product expiration check at 2025-06-13 16:26:41.241464+07:00 WIB
INFO 2025-06-13 16:26:41,361 tasks Found 5 available products to check
INFO 2025-06-13 16:26:41,611 tasks Starting product expiration check at 2025-06-13 16:26:41.611571+07:00 WIB
INFO 2025-06-13 16:26:41,650 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:41,720 tasks Found 5 available products to check
INFO 2025-06-13 16:26:41,981 tasks Starting product expiration check at 2025-06-13 16:26:41.981498+07:00 WIB
INFO 2025-06-13 16:26:42,009 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:42,062 tasks Found 5 available products to check
INFO 2025-06-13 16:26:42,333 tasks Starting product expiration check at 2025-06-13 16:26:42.333413+07:00 WIB
INFO 2025-06-13 16:26:42,374 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:42,398 tasks Found 5 available products to check
INFO 2025-06-13 16:26:42,680 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:42,713 tasks Starting product expiration check at 2025-06-13 16:26:42.713225+07:00 WIB
INFO 2025-06-13 16:26:42,762 tasks Found 5 available products to check
INFO 2025-06-13 16:26:43,058 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:43,088 tasks Starting product expiration check at 2025-06-13 16:26:43.088589+07:00 WIB
INFO 2025-06-13 16:26:43,180 tasks Found 5 available products to check
INFO 2025-06-13 16:26:43,390 tasks Starting product expiration check at 2025-06-13 16:26:43.390190+07:00 WIB
INFO 2025-06-13 16:26:43,477 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:43,545 tasks Found 5 available products to check
INFO 2025-06-13 16:26:43,751 tasks Starting product expiration check at 2025-06-13 16:26:43.751980+07:00 WIB
INFO 2025-06-13 16:26:43,850 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:43,851 tasks Found 5 available products to check
INFO 2025-06-13 16:26:44,112 tasks Starting product expiration check at 2025-06-13 16:26:44.112467+07:00 WIB
INFO 2025-06-13 16:26:44,137 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:44,177 tasks Found 5 available products to check
INFO 2025-06-13 16:26:44,450 tasks Starting product expiration check at 2025-06-13 16:26:44.450594+07:00 WIB
INFO 2025-06-13 16:26:44,479 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:44,531 tasks Found 5 available products to check
INFO 2025-06-13 16:26:44,779 tasks Starting product expiration check at 2025-06-13 16:26:44.779891+07:00 WIB
INFO 2025-06-13 16:26:44,831 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:44,903 tasks Found 5 available products to check
INFO 2025-06-13 16:26:45,215 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:45,215 tasks Found 5 available products to check
INFO 2025-06-13 16:26:45,510 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:50,702 tasks Starting product expiration check at 2025-06-13 16:26:50.702604+07:00 WIB
INFO 2025-06-13 16:26:51,067 tasks Starting product expiration check at 2025-06-13 16:26:51.067380+07:00 WIB
INFO 2025-06-13 16:26:51,163 tasks Found 5 available products to check
INFO 2025-06-13 16:26:51,460 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:51,461 tasks Starting product expiration check at 2025-06-13 16:26:51.461752+07:00 WIB
INFO 2025-06-13 16:26:51,581 tasks Found 5 available products to check
INFO 2025-06-13 16:26:51,881 tasks Starting product expiration check at 2025-06-13 16:26:51.881636+07:00 WIB
INFO 2025-06-13 16:26:51,882 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:51,911 tasks Found 5 available products to check
INFO 2025-06-13 16:26:52,231 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:52,233 tasks Starting product expiration check at 2025-06-13 16:26:52.233693+07:00 WIB
INFO 2025-06-13 16:26:52,352 tasks Found 5 available products to check
INFO 2025-06-13 16:26:52,581 tasks Starting product expiration check at 2025-06-13 16:26:52.581006+07:00 WIB
INFO 2025-06-13 16:26:52,634 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:52,708 tasks Found 5 available products to check
INFO 2025-06-13 16:26:52,980 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:53,002 tasks Found 5 available products to check
INFO 2025-06-13 16:26:53,307 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:58,497 tasks Starting product expiration check at 2025-06-13 16:26:58.497322+07:00 WIB
INFO 2025-06-13 16:26:58,867 tasks Starting product expiration check at 2025-06-13 16:26:58.867659+07:00 WIB
INFO 2025-06-13 16:26:58,942 tasks Found 5 available products to check
INFO 2025-06-13 16:26:59,207 tasks Starting product expiration check at 2025-06-13 16:26:59.207352+07:00 WIB
INFO 2025-06-13 16:26:59,240 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:59,327 tasks Found 5 available products to check
INFO 2025-06-13 16:26:59,620 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:26:59,679 tasks Found 5 available products to check
INFO 2025-06-13 16:26:59,961 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:27:05,108 tasks Starting product expiration check at 2025-06-13 16:27:05.108921+07:00 WIB
INFO 2025-06-13 16:27:05,509 tasks Starting product expiration check at 2025-06-13 16:27:05.509654+07:00 WIB
INFO 2025-06-13 16:27:05,570 tasks Found 5 available products to check
INFO 2025-06-13 16:27:05,850 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:27:05,850 tasks Starting product expiration check at 2025-06-13 16:27:05.850519+07:00 WIB
INFO 2025-06-13 16:27:05,948 tasks Found 5 available products to check
INFO 2025-06-13 16:27:06,271 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:27:06,286 tasks Starting product expiration check at 2025-06-13 16:27:06.285274+07:00 WIB
INFO 2025-06-13 16:27:06,331 tasks Found 5 available products to check
INFO 2025-06-13 16:27:06,619 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:27:06,731 tasks Found 5 available products to check
INFO 2025-06-13 16:27:07,030 tasks Found 0 products expired more than 2 hours ago
INFO 2025-06-13 16:27:12,217 tasks Starting product expiration check at 2025-06-13 16:27:12.217724+07:00 WIB
INFO 2025-06-13 16:27:12,618 tasks Starting product expiration check at 2025-06-13 16:27:12.618254+07:00 WIB
INFO 2025-06-13 16:27:12,669 tasks Found 5 available products to check
